ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Sum,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Sum,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Sum
496,0,1,3,0,1,0,0,0,5,5,5,5,0,5,5,3,1,1,2,0,3,0,3,7,55,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,9,0,0,0,0,2,1,0,0,1,0,0,0,1,1,0,6
497,0,1,2,1,1,1,0,0,4,4,4,4,0,4,4,4,2,2,3,0,3,0,3,3,50,0,6,1,1,1,0,2,1,0,0,1,1,1,1,1,0,1,1,3,2,0,0,0,0,0,24,0,0,7,1,1,1,1,1,1,0,0,1,1,0,0,15
498,0,1,1,1,1,0,0,0,5,5,5,5,0,5,5,5,2,3,4,0,4,0,1,8,61,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,15,1,0,10,1,0,1,1,0,1,0,0,0,1,1,0,17
499,0,1,1,1,1,0,0,0,4,4,4,4,0,4,4,4,2,2,3,0,3,0,3,2,47,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,2,0,0,0,0,1,9,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,3
500,0,1,1,1,1,0,0,0,1,5,5,5,0,5,5,5,2,2,4,0,4,1,4,3,55,0,5,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,3,3,0,0,0,0,0,20,0,0,8,0,2,0,1,1,1,0,0,1,1,0,0,15
501,0,0,3,0,1,0,0,0,4,4,4,3,0,3,3,3,1,1,2,0,3,0,3,5,43,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,11,0,0,10,0,2,0,1,0,0,1,0,0,1,0,0,15
502,0,1,1,0,1,0,0,0,3,3,3,3,0,2,3,3,2,2,2,0,2,0,3,1,35,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,2,0,0,0,0,0,8,1,1,5,0,0,0,1,1,1,0,0,0,1,0,0,11
503,0,1,3,1,1,0,0,0,2,4,5,3,0,3,3,4,1,2,2,0,4,0,2,2,43,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,11,1,1,3,1,2,0,1,0,1,0,0,1,1,1,0,13
504,0,0,1,0,1,0,0,0,4,4,4,4,0,3,3,4,2,2,3,0,3,1,3,1,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,4
505,0,1,2,1,1,0,0,0,3,4,4,4,0,4,4,5,3,2,3,0,3,1,3,4,52,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,3,0,0,0,0,0,11,0,0,2,1,1,1,1,0,1,0,0,1,1,1,0,10
506,1,1,1,0,1,1,0,0,4,4,4,4,0,4,4,4,2,1,4,0,3,0,3,4,50,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,2,0,0,0,0,0,7,1,1,3,0,1,1,1,0,1,1,0,1,0,0,0,11
507,1,0,0,0,1,0,0,0,5,5,5,5,0,5,5,5,1,2,2,0,4,1,3,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,5,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,5
508,0,1,2,1,1,1,0,0,3,4,4,4,0,4,4,4,2,2,2,0,3,0,3,4,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,6,0,0,5,0,1,0,1,0,1,0,0,1,1,0,0,10
509,0,1,3,1,1,0,0,0,4,3,4,4,0,5,5,5,2,2,3,0,3,0,3,5,54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,5,0,0,0,1,2,0,1,1,1,0,0,0,1,0,0,7
510,1,0,6,1,1,0,0,0,2,4,5,5,0,5,5,5,2,3,2,0,4,1,4,4,60,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,11,0,0,5,0,0,1,1,1,0,0,0,1,0,0,0,9
